Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinopharm/Beijing,Novavax,Covaxin,Medicago,Sanofi/GSK
Argentina,ARG,12/29/20,0,0,1,0,20491,1,0,0,0,0
Argentina,ARG,12/30/20,0,0,1,0,40592,1,0,0,0,0
Argentina,ARG,12/31/20,0,0,1,0,43398,1,0,0,0,0
Argentina,ARG,01/01/21,0,0,3,0,43525,1,0,0,0,0
Argentina,ARG,01/02/21,1,0,4,0,46835,1,0,0,0,0
Argentina,ARG,01/03/21,3,0,4,0,47279,1,0,0,0,0
Argentina,ARG,01/04/21,3,0,4,0,57740,1,0,0,0,0
Argentina,ARG,01/05/21,3,0,4,0,68466,5,0,0,0,0
Argentina,ARG,01/06/21,6,0,5,0,78579,8,0,0,0,0
Argentina,ARG,01/07/21,8,0,9,0,96804,10,0,0,0,0
Argentina,ARG,01/08/21,8,0,10,0,124697,10,0,0,0,0
Argentina,ARG,01/09/21,9,0,11,0,134904,11,0,0,0,0
Argentina,ARG,01/10/21,12,0,11,0,136079,12,0,0,0,0
Argentina,ARG,01/11/21,12,0,12,0,155906,14,0,0,0,0
Argentina,ARG,01/12/21,13,0,14,0,175294,17,0,0,0,0
Argentina,ARG,01/13/21,13,1,15,0,192065,21,0,0,0,0
Argentina,ARG,01/14/21,14,1,15,0,208714,22,0,0,0,0
Argentina,ARG,01/15/21,14,1,15,0,226161,22,0,0,0,0
Argentina,ARG,01/16/21,14,1,15,0,232046,22,0,0,0,0
Argentina,ARG,01/17/21,15,1,15,0,233108,22,0,0,0,0
Argentina,ARG,01/18/21,16,1,15,0,242939,22,0,0,0,0
Argentina,ARG,01/19/21,16,1,15,0,256192,24,0,0,0,0
Argentina,ARG,01/20/21,16,1,15,0,275625,24,0,0,0,0
Argentina,ARG,01/21/21,16,1,20,0,289737,26,0,0,0,0
Argentina,ARG,01/22/21,16,1,23,0,298955,27,0,0,0,0
Argentina,ARG,01/23/21,16,1,28,0,302899,27,0,0,0,0
Argentina,ARG,01/24/21,16,1,29,0,303202,27,0,0,0,0
Argentina,ARG,01/25/21,16,1,37,0,317412,27,0,0,0,0
Argentina,ARG,01/26/21,16,1,75,0,330187,28,0,0,0,0
Argentina,ARG,01/27/21,16,1,77,0,340300,28,0,0,0,0
Argentina,ARG,01/28/21,16,1,78,0,356349,28,0,0,0,0
Argentina,ARG,01/29/21,16,1,79,0,379853,28,0,0,0,0
Argentina,ARG,01/30/21,16,1,79,0,389168,28,0,0,0,0
Argentina,ARG,01/31/21,16,1,79,0,389791,29,0,0,0,0
Argentina,ARG,02/01/21,16,1,98,0,409307,30,0,0,0,0
Argentina,ARG,02/02/21,16,1,131,0,433156,30,0,0,0,0
Argentina,ARG,02/03/21,16,1,139,0,459769,33,0,0,0,0
Argentina,ARG,02/04/21,16,2,144,0,487882,56,0,0,0,0
Argentina,ARG,02/05/21,16,2,149,0,520915,63,0,0,0,0
Argentina,ARG,02/06/21,16,2,149,0,531841,68,0,0,0,0
Argentina,ARG,02/07/21,16,2,150,0,533221,72,0,0,0,0
Argentina,ARG,02/08/21,16,2,152,0,556651,73,0,0,0,0
Argentina,ARG,02/09/21,16,3,154,0,576845,79,0,0,0,0
Argentina,ARG,02/10/21,16,3,157,0,592465,84,0,0,0,0
Argentina,ARG,02/11/21,16,3,160,0,610316,90,0,0,0,0
Argentina,ARG,02/12/21,16,3,161,0,626158,91,0,0,0,0
Argentina,ARG,02/13/21,16,3,163,0,629190,93,0,0,0,0
Argentina,ARG,02/14/21,16,3,163,0,629340,95,0,0,0,0
Argentina,ARG,02/15/21,17,3,163,0,630655,97,0,0,0,0
Argentina,ARG,02/16/21,18,3,175,0,631953,99,0,0,0,0
Argentina,ARG,02/17/21,18,3,186,0,656355,102,0,0,0,0
Argentina,ARG,02/18/21,19,3,217,0,720166,106,0,0,0,0
Argentina,ARG,02/19/21,19,3,407,0,787883,107,0,0,0,0
Argentina,ARG,02/20/21,19,3,555,0,820358,108,0,0,0,0
Argentina,ARG,02/21/21,19,3,956,0,840139,108,0,0,0,0
Argentina,ARG,02/22/21,19,3,23565,0,885126,108,0,0,0,0
Argentina,ARG,02/23/21,19,3,73775,0,921892,110,0,0,0,0
Argentina,ARG,02/24/21,19,3,135870,0,953652,113,0,0,0,0
